price,city,region,district,floor,age,heating_type,total_floors,furnished_house,baths,rooms,salon,area,net area
17000,Ankara,Çankaya,Dodurga,9. floor,0,Merkezi (Pay Ölçer),10,,1,1,1,45,40
16750,Ankara,Keçiören,Uyanış,1. floor,15,Kombi,3,Eşyalı Değil,1,3,1,140,120
25000,Ankara,Gölbaşı,Bahçelievler,High entrance,1,Kombi,4,Eşyalı Değil,2,2,1,100,90
26000,Ankara,Çankaya,Birlik,2. floor,1,Merkezi (Pay Ölçer),3,Eşyalı Değil,1,2,1,75,70
36450,Ankara,Çankaya,Beytepe,4. floor,0,Yerden Isıtma,13,Eşyalı Değil,1,1,1,82,43
44000,Ankara,Etimesgut,Bağlıca,Entrance floor,9,Kombi,5,Eşyalı Değil,2,4,1,260,245
18000,Ankara,Çankaya,Fakülteler,High entrance,30,Kombi,4,Eşyalı,1,2,1,90,80
21500,Ankara,Yenimahalle,Gazi,High entrance,30,Kombi,2,Eşyalı Değil,1,2,1,95,80
20000,Ankara,Yenimahalle,Yunus Emre,1. floor,15,Kombi,4,Eşyalı Değil,1,2,1,100,90
23000,Ankara,Etimesgut,Altay,13. floor,10,Merkezi (Pay Ölçer),14,Eşyalı,1,1,1,65,60
25500,Ankara,Mamak,Türközü,1. floor,5,Kombi,5,Eşyalı,1,3,1,130,120
18500,Ankara,Çankaya,Tınaztepe,1. floor,45,Kombi,4,Eşyalı Değil,1,3,1,125,105
14000,Ankara,Çankaya,Kavaklıdere,1. floor,25,Kombi,4,,1,1,1,65,60
16500,Ankara,Çankaya,Şehit Cengiz Karaca,High entrance,20,Kombi,2,Eşyalı Değil,1,3,1,95,90
50000,Ankara,Çankaya,Çukurambar,Ground floor,0,Yerden Isıtma,6,Eşyalı,1,1,1,75,70
26000,Ankara,Yenimahalle,Ragıp Tüzün,1. floor,7,Kombi,3,Eşyalı Değil,2,3,1,120,115
23999,Ankara,Keçiören,19 Mayıs,Entrance floor,10,Kombi,3,Eşyalı,1,3,1,130,120
55000,Ankara,Çankaya,Yukarı Dikmen,3. floor,11,Kombi,3,Eşyalı,3,5,1,250,190
18500,Ankara,Keçiören,Kamil Ocak,1. floor,20,Kombi,3,Eşyalı Değil,1,3,1,115,110
16000,Ankara,Altındağ,Beşikkaya,Entrance floor,5,Kombi,3,Eşyalı Değil,1,3,1,115,110
20500,Ankara,Altındağ,Aydınlıkevler,2. floor,20,Kombi,3,Eşyalı Değil,1,3,1,140,130
42000,Ankara,Etimesgut,Yeni Bağlıca,4. floor,10,Merkezi (Pay Ölçer),7,Eşyalı Değil,2,4,1,200,170
20750,Ankara,Keçiören,Aşağı Eğlence,3. floor,20,Kombi,4,Eşyalı Değil,1,2,1,110,90
26000,Ankara,Çankaya,Mimar Sinan,Last floor floor,15,Kombi,3,Eşyalı,1,3,1,130,120
